nom;email;actif;groupes
Laurent Moreau;laurent.moreau@demo-ag.fr;oui;Bureau|Collège A
Catherine Petit;catherine.petit@demo-ag.fr;oui;Bureau|Collège A
François Leroy;francois.leroy@demo-ag.fr;oui;Bureau
Isabelle Roux;isabelle.roux@demo-ag.fr;oui;Collège A
Philippe Garcia;philippe.garcia@demo-ag.fr;oui;Collège A
Nathalie Fournier;nathalie.fournier@demo-ag.fr;oui;Collège A
Jean-Marc Girard;jean-marc.girard@demo-ag.fr;oui;Collège A
Martine Bonnet;martine.bonnet@demo-ag.fr;oui;Collège B
Thomas Lambert;thomas.lambert@demo-ag.fr;oui;Collège B
Hélène Fontaine;helene.fontaine@demo-ag.fr;oui;Collège B
Alain Rousseau;alain.rousseau@demo-ag.fr;oui;Collège B
Sophie Vincent;sophie.vincent@demo-ag.fr;oui;Collège B
David Muller;david.muller@demo-ag.fr;oui;Collège B
Sandrine Lefevre;sandrine.lefevre@demo-ag.fr;oui;Collège C
Michel Dupuis;michel.dupuis@demo-ag.fr;oui;Collège C
Brigitte Simon;brigitte.simon@demo-ag.fr;oui;Collège C
Nicolas Laurent;nicolas.laurent@demo-ag.fr;oui;Collège C
Véronique Michel;;oui;Collège C
Éric Lefebvre;eric.lefebvre@demo-ag.fr;oui;Collège C
Anne-Marie David;anne-marie.david@demo-ag.fr;oui;Collège A
Christophe Robert;christophe.robert@demo-ag.fr;oui;Collège B
Patricia Blanc;patricia.blanc@demo-ag.fr;oui;Collège A
Stéphane Guérin;;oui;Collège C
Monique Perrin;monique.perrin@demo-ag.fr;oui;Collège B
Jacques Morel;jacques.morel@demo-ag.fr;oui;Bureau|Collège A
